Time,U,V,W
0,56.45582084,-28.22791042,-28.22791042
8.00E-04,56.44343914,-27.19779911,-29.24564003
0.00160064,56.40629949,-26.15575795,-30.25054154
0.00240096,56.34441817,-25.10224401,-31.24217416
0.003201281,56.25782233,-24.0377194,-32.22010293
0.004001601,56.14654995,-22.96265105,-33.1838989
0.004801921,56.01064983,-21.87751052,-34.13313931
0.005602241,55.85018159,-20.78277379,-35.0674078
0.006402561,55.66521562,-19.67892105,-35.98629456
0.007202881,55.45583304,-18.56643649,-36.88939655
0.008003201,55.2221257,-17.44580807,-37.77631763
0.008803521,54.96419611,-16.31752735,-38.64666877
0.009603842,54.68215741,-15.18208921,-39.5000682
0.010404162,54.37613331,-14.03999171,-40.3361416
0.011204482,54.04625804,-12.89173581,-41.15452223
0.012004802,53.69267629,-11.73782517,-41.95485112
0.012805122,53.31554316,-10.57876592,-42.73677724
0.013605442,52.91502407,-9.415066486,-43.49995759
0.014405762,52.49129471,-8.247237288,-44.24405742
0.015206082,52.04454092,-7.075790579,-44.96875034
0.016006403,51.57495869,-5.901240195,-45.67371849
0.016806723,51.08275396,-4.724101331,-46.35865263
0.017607043,50.56814266,-3.544890321,-47.02325234
0.018407363,50.0313505,-2.364124404,-47.66722609
0.019207683,49.47261293,-1.182321505,-48.29029142
0.020008003,48.89217504,3.46E-15,-48.89217504
0.020808323,48.29029142,1.182321505,-49.47261293
0.021608643,47.66722609,2.364124404,-50.0313505
0.022408964,47.02325234,3.544890321,-50.56814266
0.023209284,46.35865263,4.724101331,-51.08275396
0.024009604,45.67371849,5.901240195,-51.57495869
0.024809924,44.96875034,7.075790579,-52.04454092
0.025610244,44.24405742,8.247237288,-52.49129471
0.026410564,43.49995759,9.415066486,-52.91502407
0.027210884,42.73677724,10.57876592,-53.31554316
0.028011204,41.95485112,11.73782517,-53.69267629
0.028811525,41.15452223,12.89173581,-54.04625804
0.029611845,40.3361416,14.03999171,-54.37613331
0.030412165,39.5000682,15.18208921,-54.68215741
0.031212485,38.64666877,16.31752735,-54.96419611
0.032012805,37.77631763,17.44580807,-55.2221257
0.032813125,36.88939655,18.56643649,-55.45583304
0.033613445,35.98629456,19.67892105,-55.66521562
0.034413766,35.0674078,20.78277379,-55.85018159
0.035214086,34.13313931,21.87751052,-56.01064983
0.036014406,33.1838989,22.96265105,-56.14654995
0.036814726,32.22010293,24.0377194,-56.25782233
0.037615046,31.24217416,25.10224401,-56.34441817
0.038415366,30.25054154,26.15575795,-56.40629949
0.039215686,29.24564003,27.19779911,-56.44343914
0.040016006,28.22791042,28.22791042,-56.45582084
0.040816327,27.19779911,29.24564003,-56.44343914
0.041616647,26.15575795,30.25054154,-56.40629949
0.042416967,25.10224401,31.24217416,-56.34441817
0.043217287,24.0377194,32.22010293,-56.25782233
0.044017607,22.96265105,33.1838989,-56.14654995
0.044817927,21.87751052,34.13313931,-56.01064983
0.045618247,20.78277379,35.0674078,-55.85018159
0.046418567,19.67892105,35.98629456,-55.66521562
0.047218888,18.56643649,36.88939655,-55.45583304
0.048019208,17.44580807,37.77631763,-55.2221257
0.048819528,16.31752735,38.64666877,-54.96419611
0.049619848,15.18208921,39.5000682,-54.68215741
0.050420168,14.03999171,40.3361416,-54.37613331
0.051220488,12.89173581,41.15452223,-54.04625804
0.052020808,11.73782517,41.95485112,-53.69267629
0.052821128,10.57876592,42.73677724,-53.31554316
0.053621449,9.415066486,43.49995759,-52.91502407
0.054421769,8.247237288,44.24405742,-52.49129471
0.055222089,7.075790579,44.96875034,-52.04454092
0.056022409,5.901240195,45.67371849,-51.57495869
0.056822729,4.724101331,46.35865263,-51.08275396
0.057623049,3.544890321,47.02325234,-50.56814266
0.058423369,2.364124404,47.66722609,-50.0313505
0.059223689,1.182321505,48.29029142,-49.47261293
0.06002401,-9.08E-15,48.89217504,-48.89217504
0.06082433,-1.182321505,49.47261293,-48.29029142
0.06162465,-2.364124404,50.0313505,-47.66722609
0.06242497,-3.544890321,50.56814266,-47.02325234
0.06322529,-4.724101331,51.08275396,-46.35865263
0.06402561,-5.901240195,51.57495869,-45.67371849
0.06482593,-7.075790579,52.04454092,-44.96875034
0.065626251,-8.247237288,52.49129471,-44.24405742
0.066426571,-9.415066486,52.91502407,-43.49995759
0.067226891,-10.57876592,53.31554316,-42.73677724
0.068027211,-11.73782517,53.69267629,-41.95485112
0.068827531,-12.89173581,54.04625804,-41.15452223
0.069627851,-14.03999171,54.37613331,-40.3361416
0.070428171,-15.18208921,54.68215741,-39.5000682
0.071228491,-16.31752735,54.96419611,-38.64666877
0.072028812,-17.44580807,55.2221257,-37.77631763
0.072829132,-18.56643649,55.45583304,-36.88939655
0.073629452,-19.67892105,55.66521562,-35.98629456
0.074429772,-20.78277379,55.85018159,-35.0674078
0.075230092,-21.87751052,56.01064983,-34.13313931
0.076030412,-22.96265105,56.14654995,-33.1838989
