Time,U,V,W
0,447.9994931,10.02967698,-502.7080187
8.00E-04,441.8335003,7.034005996,-493.4669162
0.00160064,439.6858124,39.88035947,-522.8781342
0.00240096,424.8100246,34.07124459,-501.8988975
0.003201281,424.8100246,34.07124459,-501.8988975
0.004001601,402.7114615,84.42760592,-525.5546246
0.004801921,402.7114615,84.42760592,-525.5546246
0.005602241,402.7114615,84.42760592,-525.5546246
0.006402561,402.7114615,84.42760592,-525.5546246
0.007202881,402.7114615,84.42760592,-525.5546246
0.008003201,368.455095,140.5734422,-539.1900702
0.008803521,368.455095,140.5734422,-539.1900702
0.009603842,368.455095,140.5734422,-539.1900702
0.010404162,368.455095,140.5734422,-539.1900702
0.011204482,368.455095,140.5734422,-539.1900702
0.012004802,331.1220233,195.1606209,-545.6161746
0.012805122,331.1220233,195.1606209,-545.6161746
0.013605442,331.1220233,195.1606209,-545.6161746
0.014405762,331.1220233,195.1606209,-545.6161746
0.015206082,331.1220233,195.1606209,-545.6161746
0.016006403,304.1871526,230.496024,-545.4910521
0.016806723,295.7700055,241.5383375,-545.4519514
0.017607043,287.3528584,252.580651,-545.4128506
0.018407363,278.9357113,263.6229645,-545.3737499
0.019207683,270.5185642,274.6652779,-545.3346491
0.020008003,259.8886962,284.6536045,-541.2700027
0.020808323,250.8207489,295.3859219,-540.046918
0.021608643,241.7528015,306.1182392,-538.8238332
0.022408964,232.6848542,316.8505565,-537.6007485
0.023209284,221.5466608,325.7287218,-533.0321393
0.024009604,211.6824649,335.7479037,-530.5223144
0.024809924,201.8182691,345.7670856,-528.0124895
0.025610244,191.9540732,355.7862675,-525.5026646
0.026410564,182.0898774,365.8054494,-522.9928397
0.027210884,172.2256816,375.8246313,-520.4830148
0.028011204,162.3614857,385.8438132,-517.9731899
0.028811525,152.4972899,395.8629951,-515.463365
0.029611845,142.6330941,405.8821771,-512.9535401
0.030412165,132.7688982,415.901359,-510.4437151
0.031212485,120.1411396,414.6901748,-499.5009617
0.032012805,109.7651729,422.6296593,-495.4294834
0.032813125,99.38920614,430.5691438,-491.3580051
0.033613445,89.01323942,438.5086283,-487.2865267
0.034413766,78.63727269,446.4481128,-483.2150484
0.035214086,68.26130597,454.3875973,-479.14357
0.036014406,57.88533924,462.3270818,-475.0720917
0.036814726,47.50937252,470.2665663,-471.0006134
0.037615046,37.13340579,478.2060508,-466.929135
0.038415366,26.75743907,486.1455353,-462.8576567
0.039215686,10.43992153,483.7072472,-451.3535024
0.040016006,-0.96045051,489.8574605,-446.0005282
0.040816327,-12.36082255,496.0076739,-440.6475541
0.041616647,-23.76119459,502.1578872,-435.2945799
0.042416967,-35.16156662,508.3081006,-429.9416057
0.043217287,-46.56193866,514.4583139,-424.5886315
0.044017607,-57.9623107,520.6085273,-419.2356573
0.044817927,-69.36268274,526.7587406,-413.8826831
