Time,M
0,7099094.689
8.00E-04,7098232.105
0.00160064,7095893.989
0.00240096,7094957.19
0.003201281,7098501.317
0.004001601,7101461.903
0.004801921,7102129.874
0.005602241,7102779.545
0.006402561,7103410.917
0.007202881,7104023.989
0.008003201,7104700.684
0.008803521,7105484.121
0.009603842,7106252.342
0.010404162,7107005.346
0.011204482,7107743.135
0.012004802,7108458.063
0.012805122,7109160.934
0.013605442,7109858.91
0.014405762,7110551.99
0.015206082,7111240.173
0.016006403,7111721.656
0.016806723,7112075.642
0.017607043,7112348.981
0.018407363,7112546.515
0.019207683,7112673.2
0.020008003,7112464.973
0.020808323,7112101.89
0.021608643,7111588.26
0.022408964,7110928.328
0.023209284,7110119.665
0.024009604,7109136.147
0.024809924,7107999.591
0.025610244,7106711.511
0.026410564,7105273.201
0.027210884,7103685.734
0.028011204,7101949.962
0.028811525,7100066.515
0.029611845,7098035.804
0.030412165,7095858.017
0.031212485,7094514.295
0.032012805,7093925.395
0.032813125,7093496.507
0.033613445,7093224.428
0.034413766,7093105.816
0.035214086,7093137.191
0.036014406,7093314.93
0.036814726,7093635.273
0.037615046,7094094.32
0.038415366,7094688.031
0.039215686,7094822.681
0.040016006,7094970.574
0.040816327,7095127.816
0.041616647,7095290.694
0.042416967,7095455.67
0.043217287,7095619.388
0.044017607,7095778.669
0.044817927,7095930.511
0.045618247,7096336.402
0.046418567,7097313.882
0.047218888,7098446.19
0.048019208,7099733.293
0.048819528,7101175.512
0.049619848,7102773.525
0.050420168,7104528.364
0.051220488,7106441.417
0.052020808,7108514.429
0.052821128,7109728.496
0.053621449,7110453.265
0.054421769,7111047.687
0.055222089,7111515.797
0.056022409,7111861.874
0.056822729,7112090.442
0.057623049,7112206.266
0.058423369,7112214.358
0.059223689,7112103.403
0.06002401,7111677.71
0.06082433,7111109.195
0.06162465,7110401.906
0.06242497,7109559.832
0.06322529,7108586.901
0.06402561,7107486.985
0.06482593,7106263.894
0.065626251,7104921.383
0.066426571,7103778.965
0.067226891,7103032.645
0.068027211,7102322.435
0.068827531,7101648.109
0.069627851,7101009.222
0.070428171,7100405.102
0.071228491,7099834.851
0.072028812,7099297.35
0.072829132,7098791.254
0.073629452,7098451.478
0.074429772,7098219.351
0.075230092,7098066.986
0.076030412,7097995.451
0.076830732,7098005.527
0.077631052,7098097.774
0.078431373,7098272.6
0.079231693,7098530.332
0.080032013,7098854.69
0.080832333,7099155.608
0.081632653,7099504.355
0.082432973,7099898.899
0.083233293,7100337.619
0.084033613,7100819.364
0.084833934,7101343.528
0.085634254,7101910.113
0.086434574,7102519.808
0.087234894,7103175.248
0.088035214,7103879.137
0.088835534,7104633.263
0.089635854,7105440.926
0.090436174,7106306.063
0.091236495,7107233.244
0.092036815,7108227.686
0.092837135,7109295.248
0.093637455,7110442.436
0.094437775,7111189.294
0.095238095,7111789.424
0.096038415,7112286.609
0.096838735,7112668.792
0.097639056,7112924.112
0.098439376,7113040.85
0.099239696,7113007.387
0.100040016,7112812.144
0.100840336,7112450.167
0.101640656,7111928.579
0.102440976,7111217.076
0.103241297,7110303.259
0.104041617,7109174.29
0.104841937,7107816.845
0.105642257,7106217.05
0.106442577,7104360.432
0.107242897,7102231.863
0.108043217,7100605.14
0.108843537,7099468.952
0.109643858,7098360.762
0.110444178,7097279.232
0.111244498,7096222.805
0.112044818,7095189.712
0.112845138,7094177.965
0.113645458,7093185.364
0.114445778,7092209.489
0.115246098,7092274.565
0.116046419,7092605.511
0.116846739,7093159.574
0.117647059,7093932.449
0.118447379,7094919.84
0.119247699,7096117.457
0.120048019,7097521.017
0.120848339,7099126.244
0.121648659,7100598.878
0.12244898,7101412.97
0.1232493,7102189.139
0.12404962,7102924.857
0.12484994,7103617.898
0.12565026,7104266.337
0.12645058,7104868.548
0.1272509,7105423.206
0.12805122,7105929.288
0.128851541,7106488.719
0.129651861,7107078.831
0.130452181,7107658.929
0.131252501,7108231.045
0.132052821,7108797.556
0.132853141,7109361.18
0.133653461,7109924.983
0.134453782,7110492.371
0.135254102,7111051.428
0.136054422,7111199.821
0.136854742,7111275.383
0.137655062,7111282.627
0.138455382,7111226.189
0.139255702,7111110.823
0.140056022,7110941.402
0.140856343,7110722.921
0.141656663,7110460.493
0.142456983,7110064.656
0.143257303,7109452.133
0.144057623,7108750.539
0.144857943,7107962.46
0.145658263,7107090.312
0.146458583,7106136.347
0.147258904,7105102.647
0.148059224,7103991.129
0.148859544,7102803.54
0.149659864,7101941.091
0.150460184,7101220.159
0.151260504,7100524.743
0.152060824,7099852.521
0.152861144,7099200.98
0.153661465,7098567.41
0.154461785,7097948.908
0.155262105,7097342.376
0.156062425,7096780.782
0.156862745,7096548.654
0.157663065,7096429.91
0.158463385,7096431.564
0.159263705,7096560.623
0.160064026,7096824.17
0.160864346,7097229.429
0.161664666,7097783.857
0.162464986,7098495.218
0.163265306,7099254.538
0.164065626,7099999.884
0.164865946,7100838.96
0.165666267,7101773.033
0.166466587,7102803.971
0.167266907,7103934.293
0.168067227,7105167.216
0.168867547,7106506.69
0.169667867,7107957.453
0.170468187,7108927.728
0.171268507,7109688.388
0.172068828,7110316.848
0.172869148,7110794.955
0.173669468,7111105.074
0.174469788,7111230.064
0.175270108,7111153.257
0.176070428,7110858.433
0.176870748,7110392.38
0.177671068,7109992.341
0.178471389,7109443.971
0.179271709,7108742.924
0.180072029,7107884.792
0.180872349,7106865.053
0.181672669,7105679.001
0.182472989,7104321.693
0.183273309,7102787.879
0.184073629,7101635.871
0.18487395,7101004.763
0.18567427,7100550.292
0.18647459,7100300.871
0.18727491,7100284.268
0.18807523,7100527.584
0.18887555,7101057.231
0.18967587,7101898.914
0.19047619,7103077.612
0.191276511,7102988.191
0.192076831,7102693.557
0.192877151,7102314.427
0.193677471,7101847.656
0.194477791,7101289.94
0.195278111,7100637.822
0.196078431,7099887.684
0.196878752,7099035.752
0.197679072,7098336.915
0.198479392,7098324.664
0.199279712,7098402.829
0.200080032,7098567.24
0.200880352,7098813.877
0.201680672,7099138.861
0.202480992,7099538.46
0.203281313,7100009.088
0.204081633,7100547.302
0.204881953,7101190.958
0.205682273,7101934.486
0.206482593,7102756.991
0.207282913,7103657.895
0.208083233,7104636.974
0.208883553,7105694.356
0.209683874,7106830.527
0.210484194,7108046.326
0.211284514,7109342.945
0.212084834,7110015.318
0.212885154,7110630.196
0.213685474,7111190.962
0.214485794,7111701.268
0.215286114,7112165.042
0.216086435,7112586.481
0.216886755,7112970.057
0.217687075,7113320.513
0.218487395,7113430.518
0.219287715,7113050.07
0.220088035,7112518.852
0.220888355,7111841.23
