Time,M
0,7126149.256
8.00E-04,7125174.059
0.00160064,7018673.563
0.00240096,6881014.871
0.003201281,6982358.77
0.004001601,7062548.111
0.004801921,7059174.271
0.005602241,7055759.965
0.006402561,7052305.222
0.007202881,7048810.075
0.008003201,7049519.46
0.008803521,7056582.003
0.009603842,7063641.588
0.010404162,7070698.25
0.011204482,7077752.023
0.012004802,7088393.574
0.012805122,7101443.021
0.013605442,7114510.883
0.014405762,7127597.197
0.015206082,7140701.998
0.016006403,7151631.972
0.016806723,7161153.684
0.017607043,7169720.625
0.018407363,7177336.515
0.019207683,7184005.871
0.020008003,7183787.744
0.020808323,7180562.136
0.021608643,7174322.853
0.022408964,7165062.748
0.023209284,7152641.054
0.024009604,7136484.59
0.024809924,7116994.806
0.025610244,7094146.608
0.026410564,7067910.675
0.027210884,7038253.459
0.028011204,7005137.193
0.028811525,6968519.886
0.029611845,6928355.33
0.030412165,6884593.099
0.031212485,6858931.417
0.032012805,6849970.687
0.032813125,6844684.431
0.033613445,6843074.396
0.034413766,6845136.679
0.035214086,6850861.73
0.036014406,6860234.353
0.036814726,6873233.714
0.037615046,6889833.337
0.038415366,6910001.115
0.039215686,6907663.977
0.040016006,6904014.526
0.040816327,6899049.876
0.041616647,6892766.873
0.042416967,6885162.1
0.043217287,6876231.871
0.044017607,6865972.24
0.044817927,6854378.995
0.045618247,6850573.8
0.046418567,6865512.967
0.047218888,6884787.951
0.048019208,6908393.883
0.048819528,6936321.792
0.049619848,6968558.613
0.050420168,7005087.192
0.051220488,7045886.288
0.052020808,7090930.58
0.052821128,7117855.91
0.053621449,7134672.412
0.054421769,7149150.171
0.055222089,7161287.469
0.056022409,7171080.62
0.056822729,7178523.972
0.057623049,7183609.91
0.058423369,7186328.857
0.059223689,7186656.396
0.06002401,7184440.619
0.06082433,7179818.593
0.06162465,7172783.36
0.06242497,7163326.258
0.06322529,7151436.924
0.06402561,7137103.295
0.06482593,7120311.608
0.065626251,7101046.403
0.066426571,7086415.221
0.067226891,7080976.934
0.068027211,7076691.35
0.068827531,7073565.654
0.069627851,7071605.857
0.070428171,7070816.791
0.071228491,7071202.116
0.072028812,7072764.317
0.072829132,7075504.709
0.073629452,7077515.747
0.074429772,7079505.839
0.075230092,7081791.849
0.076030412,7084288.247
0.076830732,7086909.663
0.077631052,7089571.065
0.078431373,7092187.922
0.079231693,7094676.368
0.080032013,7096584.575
0.080832333,7095777.167
0.081632653,7093683.994
0.082432973,7090121.512
0.083233293,7084904.824
0.084033613,7077847.598
0.084833934,7068761.976
0.085634254,7057458.483
0.086434574,7043745.919
0.087234894,7035018.027
0.088035214,7034338.095
0.088835534,7036191.468
0.089635854,7040944.052
0.090436174,7048962.302
0.091236495,7060612.611
0.092036815,7076260.612
0.092837135,7096270.379
0.093637455,7121003.537
0.094437775,7133261.054
0.095238095,7142351.074
0.096038415,7149969.269
0.096838735,7155785.334
0.097639056,7159467.812
0.098439376,7160683.747
0.099239696,7159098.31
0.100040016,7154374.387
0.100840336,7146934.154
0.101640656,7138774.049
0.102440976,7127644.255
0.103241297,7113311.112
0.104041617,7095535.415
0.104841937,7074071.87
0.105642257,7048668.523
0.106442577,7019066.183
0.107242897,6984997.83
0.108043217,6960181.697
0.108843537,6944466.9
0.109643858,6929688.999
0.110444178,6915850.845
0.111244498,6902953.95
0.112044818,6890998.487
0.112845138,6879983.299
0.113645458,6869905.893
0.114445778,6860762.446
0.115246098,6870431.508
0.116046419,6885614.46
0.116846739,6905635.618
0.117647059,6930479.974
0.118447379,6960126.512
0.119247699,6994548.225
0.120048019,7033712.123
0.120848339,7077579.241
0.121648659,7116421.467
0.12244898,7134955.657
0.1232493,7151516.654
0.12404962,7166109.391
0.12484994,7178736.578
0.12565026,7189398.712
0.12645058,7198094.084
0.1272509,7204818.779
0.12805122,7209566.69
0.128851541,7210934.128
0.129651861,7209253.512
0.130452181,7205095.126
0.131252501,7198449.555
0.132052821,7189309.045
0.132853141,7177667.511
0.133653461,7163520.537
0.134453782,7146865.381
0.135254102,7128277.317
0.136054422,7122766.467
0.136854742,7118128.186
0.137655062,7114373.875
0.138455382,7111514.029
0.139255702,7109558.246
0.140056022,7108515.22
0.140856343,7108392.749
0.141656663,7109197.737
0.142456983,7110802.686
0.143257303,7113095.442
0.144057623,7116260.264
0.144857943,7120302.664
0.145658263,7125227.728
0.146458583,7131040.123
0.147258904,7137744.096
0.148059224,7145343.475
0.148859544,7153841.673
0.149659864,7155446.932
0.150460184,7153538.242
0.151260504,7150298.983
0.152060824,7145715.43
0.152861144,7139772.526
0.153661465,7132453.886
0.154461785,7123741.799
0.155262105,7113617.233
0.156062425,7103004.985
0.156862745,7099485.446
0.157663065,7097621.697
0.158463385,7097742.909
0.159263705,7100180.565
0.160064026,7105267.255
0.160864346,7113335.281
0.161664666,7124715.035
0.162464986,7139733.182
0.163265306,7152664.92
0.164065626,7160079.73
0.164865946,7167306.052
0.165666267,7174176.659
0.166466587,7180522.007
0.167266907,7186170.423
0.168067227,7190948.293
0.168867547,7194680.265
0.169667867,7197189.454
0.170468187,7194674.372
0.171268507,7188586.636
0.172068828,7179183.129
0.172869148,7166132.702
0.173669468,7149100.413
0.174469788,7127747.039
0.175270108,7101728.573
0.176070428,7070695.705
0.176870748,7037660.94
0.177671068,7016014.314
0.178471389,6994876.584
0.179271709,6974598.936
0.180072029,6955534.28
0.180872349,6938036.409
0.181672669,6922459.049
0.182472989,6909154.795
0.183273309,6898473.949
0.184073629,6895581.388
0.18487395,6902132.996
0.18567427,6915632.271
0.18647459,6936747.974
0.18727491,6966136.426
0.18807523,7004437.362
0.18887555,7052269.389
0.18967587,7110225.044
0.19047619,7178865.468
0.191276511,7202550.388
0.192076831,7218950.341
0.192877151,7232377.769
0.193677471,7242835.076
0.194477791,7250323.765
0.195278111,7254844.435
0.196078431,7256396.79
0.196878752,7254979.644
0.197679072,7251954.104
0.198479392,7250133.501
0.199279712,7246376.306
0.200080032,7240661.476
0.200880352,7232965.748
0.201680672,7223263.653
0.202480992,7211527.511
0.203281313,7197727.44
0.204081633,7181831.359
0.204881953,7172119.586
0.205682273,7167323.25
0.206482593,7163293.698
0.207282913,7160036.129
0.208083233,7157555.474
0.208883553,7155856.4
0.209683874,7154943.309
0.210484194,7154820.346
0.211284514,7155491.4
0.212084834,7158529.094
0.212885154,7162716.409
0.213685474,7168063.913
0.214485794,7174582.248
0.215286114,7182282.133
0.216086435,7191174.372
0.216886755,7201269.851
0.217687075,7212579.544
0.218487395,7220152.346
0.219287715,7218023.731
0.220088035,7214016.802
0.220888355,7208124.31
0.221688675,7200338.021
0.222488996,7190648.726
0.223289316,7179046.241
0.224089636,7165519.412
0.224889956,7150056.12
0.225690276,7145031.422
0.226490596,7146091.743
0.227290916,7148951.782
0.228091236,7153619.187
0.228891557,7160100.735
0.229691877,7168402.333
0.230492197,7178529.026
0.231292517,7190485
0.232092837,7203642.146
0.232893157,7210385.629
0.233693477,7217134.064
0.234493798,7223883.031
0.235294118,7230627.349
0.236094438,7237361.083
0.236894758,7244077.545
0.237695078,7250769.298
0.238495398,7257428.159
0.239295718,7260339.214
0.240096038,7256377.175
0.240896359,7249189.204
0.241696679,7238482.267
0.242496999,7223982.383
0.243297319,7205439.043
0.244097639,7182629.937
0.244897959,7155366.038
0.245698279,7123497.01
0.246498599,7099308.085
0.24729892,7077460.74
0.24809924,7055465.307
0.24889956,7033509.918
0.24969988,7011806.931
0.2505002,6990607.821
0.25130052,6970220.074
0.25210084,6951026.055
0.25290116,6935648.61
0.253701481,6936321.338
