Time,U,V,W
0,34.21707591,-17.10853795,-17.10853795
8.00E-04,34.20957154,-16.48420204,-17.7253695
0.00160064,34.18706172,-15.8526356,-18.33442612
0.00240096,34.14955632,-15.21411568,-18.93544065
0.003201281,34.09707181,-14.56892234,-19.52814947
0.004001601,34.02963119,-13.91733859,-20.1122926
0.004801921,33.94726404,-13.25965024,-20.68761381
0.005602241,33.85000651,-12.59614576,-21.25386075
0.006402561,33.73790125,-11.9271162,-21.81078504
0.007202881,33.61099742,-11.25285501,-22.35814241
0.008003201,33.4693507,-10.57365795,-22.89569275
0.008803521,33.31302322,-9.889822936,-23.42320029
0.009603842,33.14208355,-9.201649915,-23.94043363
0.010404162,32.95660666,-8.509440747,-24.44716591
0.011204482,32.75667391,-7.813499056,-24.94317486
0.012004802,32.54237301,-7.114130107,-25.4282429
0.012805122,32.31379795,-6.411640665,-25.90215728
0.013605442,32.07104898,-5.706338865,-26.36471012
0.014405762,31.81423259,-4.998534077,-26.81569852
0.015206082,31.54346143,-4.288536767,-27.25492467
0.016006403,31.25885427,-3.576658362,-27.68219591
0.016806723,30.96053594,-2.863211117,-28.09732482
0.017607043,30.64863729,-2.148507973,-28.50012932
0.018407363,30.32329514,-1.432862422,-28.89043272
0.019207683,29.98465219,-0.716588371,-29.26806382
0.020008003,29.63285698,2.10E-15,-29.63285698
0.020808323,29.26806382,0.716588371,-29.98465219
0.021608643,28.89043272,1.432862422,-30.32329514
0.022408964,28.50012932,2.148507973,-30.64863729
0.023209284,28.09732482,2.863211117,-30.96053594
0.024009604,27.68219591,3.576658362,-31.25885427
0.024809924,27.25492467,4.288536767,-31.54346143
0.025610244,26.81569852,4.998534077,-31.81423259
0.026410564,26.36471012,5.706338865,-32.07104898
0.027210884,25.90215728,6.411640665,-32.31379795
0.028011204,25.4282429,7.114130107,-32.54237301
0.028811525,24.94317486,7.813499056,-32.75667391
0.029611845,24.44716591,8.509440747,-32.95660666
0.030412165,23.94043363,9.201649915,-33.14208355
0.031212485,23.42320029,9.889822936,-33.31302322
0.032012805,22.89569275,10.57365795,-33.4693507
0.032813125,22.35814241,11.25285501,-33.61099742
0.033613445,21.81078504,11.9271162,-33.73790125
0.034413766,21.25386075,12.59614576,-33.85000651
0.035214086,20.68761381,13.25965024,-33.94726404
0.036014406,20.1122926,13.91733859,-34.02963119
0.036814726,19.52814947,14.56892234,-34.09707181
0.037615046,18.93544065,15.21411568,-34.14955632
0.038415366,18.33442612,15.8526356,-34.18706172
0.039215686,17.7253695,16.48420204,-34.20957154
0.040016006,17.10853795,17.10853795,-34.21707591
0.040816327,16.48420204,17.7253695,-34.20957154
0.041616647,15.8526356,18.33442612,-34.18706172
0.042416967,15.21411568,18.93544065,-34.14955632
0.043217287,14.56892234,19.52814947,-34.09707181
0.044017607,13.91733859,20.1122926,-34.02963119
0.044817927,13.25965024,20.68761381,-33.94726404
0.045618247,12.59614576,21.25386075,-33.85000651
0.046418567,11.9271162,21.81078504,-33.73790125
0.047218888,11.25285501,22.35814241,-33.61099742
0.048019208,10.57365795,22.89569275,-33.4693507
0.048819528,9.889822936,23.42320029,-33.31302322
0.049619848,9.201649915,23.94043363,-33.14208355
0.050420168,8.509440747,24.44716591,-32.95660666
0.051220488,7.813499056,24.94317486,-32.75667391
0.052020808,7.114130107,25.4282429,-32.54237301
0.052821128,6.411640665,25.90215728,-32.31379795
0.053621449,5.706338865,26.36471012,-32.07104898
0.054421769,4.998534077,26.81569852,-31.81423259
0.055222089,4.288536767,27.25492467,-31.54346143
0.056022409,3.576658362,27.68219591,-31.25885427
0.056822729,2.863211117,28.09732482,-30.96053594
0.057623049,2.148507973,28.50012932,-30.64863729
0.058423369,1.432862422,28.89043272,-30.32329514
0.059223689,0.716588371,29.26806382,-29.98465219
0.06002401,-5.50E-15,29.63285698,-29.63285698
0.06082433,-0.716588371,29.98465219,-29.26806382
0.06162465,-1.432862422,30.32329514,-28.89043272
0.06242497,-2.148507973,30.64863729,-28.50012932
0.06322529,-2.863211117,30.96053594,-28.09732482
0.06402561,-3.576658362,31.25885427,-27.68219591
0.06482593,-4.288536767,31.54346143,-27.25492467
0.065626251,-4.998534077,31.81423259,-26.81569852
0.066426571,-5.706338865,32.07104898,-26.36471012
0.067226891,-6.411640665,32.31379795,-25.90215728
0.068027211,-7.114130107,32.54237301,-25.4282429
0.068827531,-7.813499056,32.75667391,-24.94317486
0.069627851,-8.509440747,32.95660666,-24.44716591
0.070428171,-9.201649915,33.14208355,-23.94043363
0.071228491,-9.889822936,33.31302322,-23.42320029
0.072028812,-10.57365795,33.4693507,-22.89569275
0.072829132,-11.25285501,33.61099742,-22.35814241
0.073629452,-11.9271162,33.73790125,-21.81078504
0.074429772,-12.59614576,33.85000651,-21.25386075
0.075230092,-13.25965024,33.94726404,-20.68761381
0.076030412,-13.91733859,34.02963119,-20.1122926
0.076830732,-14.56892234,34.09707181,-19.52814947
0.077631052,-15.21411568,34.14955632,-18.93544065
0.078431373,-15.8526356,34.18706172,-18.33442612
0.079231693,-16.48420204,34.20957154,-17.7253695
0.080032013,-17.10853795,34.21707591,-17.10853795
0.080832333,-17.7253695,34.20957154,-16.48420204
0.081632653,-18.33442612,34.18706172,-15.8526356
0.082432973,-18.93544065,34.14955632,-15.21411568
0.083233293,-19.52814947,34.09707181,-14.56892234
0.084033613,-20.1122926,34.02963119,-13.91733859
0.084833934,-20.68761381,33.94726404,-13.25965024
0.085634254,-21.25386075,33.85000651,-12.59614576
0.086434574,-21.81078504,33.73790125,-11.9271162
0.087234894,-22.35814241,33.61099742,-11.25285501
0.088035214,-22.89569275,33.4693507,-10.57365795
0.088835534,-23.42320029,33.31302322,-9.889822936
0.089635854,-23.94043363,33.14208355,-9.201649915
0.090436174,-24.44716591,32.95660666,-8.509440747
0.091236495,-24.94317486,32.75667391,-7.813499056
0.092036815,-25.4282429,32.54237301,-7.114130107
0.092837135,-25.90215728,32.31379795,-6.411640665
0.093637455,-26.36471012,32.07104898,-5.706338865
0.094437775,-26.81569852,31.81423259,-4.998534077
0.095238095,-27.25492467,31.54346143,-4.288536767
0.096038415,-27.68219591,31.25885427,-3.576658362
0.096838735,-28.09732482,30.96053594,-2.863211117
0.097639056,-28.50012932,30.64863729,-2.148507973
0.098439376,-28.89043272,30.32329514,-1.432862422
0.099239696,-29.26806382,29.98465219,-0.716588371
