Time,M
0,4324467.199
0.00E+00,4323208.518
0.00160064,4324024.716
0.00240096,4323949.994
0.003201281,4324139.135
0.004001601,4324404.503
0.004801921,4324663.822
0.005602241,4324860.894
0.006402561,4325033.649
0.007202881,4325199.082
0.008003201,4325357.191
0.008803521,4325507.978
0.009603842,4325651.442
0.010404162,4325968.987
0.011204482,4326335.615
0.012004802,4326696.686
0.012805122,4327052.199
0.013605442,4327402.156
0.014405762,4327746.555
0.015206082,4328041.476
0.016006403,4328322.497
0.016806723,4328603.406
0.017607043,4328884.204
0.018407363,4329164.891
0.019207683,4329445.466
0.020008003,4329622.766
0.020808323,4329737.894
0.021608643,4329818.848
0.022408964,4329867.162
0.023209284,4329884.358
0.024009604,4329871.949
0.024809924,4329799.272
0.025610244,4329678.414
0.026410564,4329518.16
0.027210884,4329319.258
0.028011204,4329082.383
0.028811525,4328808.137
0.029611845,4328515.836
0.030412165,4328197.356
0.031212485,4327847.506
0.032012805,4327465.828
0.032813125,4327051.772
0.033613445,4326604.695
0.034413766,4326219.01
0.035214086,4325857.153
0.036014406,4325494.195
0.036814726,4325128.723
0.037615046,4324759.274
0.038415366,4324384.336
0.039215686,4324127.349
0.040016006,4323965.206
0.040816327,4323879.285
0.041616647,4323879.153
0.042416967,4323974.444
0.043217287,4324174.888
0.044017607,4324286.115
0.044817927,4324353.946
0.045618247,4324416.083
0.046418567,4324464.865
0.047218888,4324492.845
0.048019208,4324492.801
0.048819528,4324531.858
0.049619848,4324590.162
0.050420168,4324651.417
0.051220488,4324715.93
0.052020808,4324784.24
0.052821128,4324857.124
0.053621449,4325078.632
0.054421769,4325423.795
0.055222089,4325875.097
0.056022409,4326446.498
0.056822729,4327152.077
0.057623049,4328006.026
0.058423369,4328554.835
0.059223689,4328898.823
0.06002401,4329112.408
0.06082433,4329168.566
0.06162465,4329040.262
0.06242497,4328700.425
0.06322529,4328323.874
0.06402561,4327870.168
0.06482593,4327299.271
0.065626251,4326612.288
0.066426571,4325810.267
0.067226891,4324894.197
0.068027211,4324566.44
0.068827531,4324549.451
0.069627851,4324681.131
0.070428171,4324961.436
0.071228491,4325390.248
0.072028812,4325967.369
0.072829132,4326044.192
0.073629452,4325876.504
0.074429772,4325611.386
0.075230092,4325247.673
0.076030412,4324784.13
0.076830732,4324219.447
0.077631052,4323644.937
0.078431373,4323021.417
0.079231693,4322326.207
0.080032013,4321557.7
0.080832333,4320714.295
0.081632653,4319794.398
0.082432973,4319394.588
0.083233293,4319393.814
0.084033613,4319719.419
0.084833934,4320422.649
0.085634254,4321554.954
0.086434574,4323168.019
0.087234894,4324162.807
0.088035214,4324825.679
0.088835534,4325344.508
0.089635854,4325671.561
0.090436174,4325759.368
0.091236495,4325560.739
0.092036815,4325633.523
0.092837135,4325805.702
0.093637455,4325960.445
0.094437775,4326103.865
0.095238095,4326242.262
0.096038415,4326382.108
0.096838735,4326592.713
0.097639056,4326867.176
0.098439376,4327204.799
0.099239696,4327617.534
0.100040016,4328117.334
0.100840336,4328716.13
0.101640656,4329092.796
0.102440976,4329330.22
