Time,U,V,W
0,-312.3472739,60.29112002,282.5261042
8.00E-04,-309.5875503,59.7223277,280.0750042
0.00160064,-306.5140763,50.05641575,286.6381781
0.00240096,-306.5140763,50.05641575,286.6381781
0.003201281,-300.2902531,32.53715873,296.5661187
0.004001601,-300.2902531,32.53715873,296.5661187
0.004801921,-300.2902531,32.53715873,296.5661187
0.005602241,-285.9337864,-1.029601016,311.8958747
0.006402561,-285.9337864,-1.029601016,311.8958747
0.007202881,-285.9337864,-1.029601016,311.8958747
0.008003201,-285.9337864,-1.029601016,311.8958747
0.008803521,-285.9337864,-1.029601016,311.8958747
0.009603842,-285.9337864,-1.029601016,311.8958747
0.010404162,-264.0644964,-46.95734106,327.8294947
0.011204482,-264.0644964,-46.95734106,327.8294947
0.012004802,-264.0644964,-46.95734106,327.8294947
0.012805122,-264.0644964,-46.95734106,327.8294947
0.013605442,-264.0644964,-46.95734106,327.8294947
0.014405762,-264.0644964,-46.95734106,327.8294947
0.015206082,-238.6645965,-92.59589071,337.6529718
0.016006403,-238.6645965,-92.59589071,337.6529718
0.016806723,-238.6645965,-92.59589071,337.6529718
0.017607043,-238.6645965,-92.59589071,337.6529718
0.018407363,-238.6645965,-92.59589071,337.6529718
0.019207683,-238.6645965,-92.59589071,337.6529718
0.020008003,-220.4168775,-120.5034863,340.1738598
0.020808323,-215.5769243,-127.9055871,340.8424901
0.021608643,-210.7369712,-135.3076879,341.5111205
0.022408964,-205.897018,-142.7097886,342.1797509
0.023209284,-201.0570649,-150.1118894,342.8483813
0.024009604,-196.2171117,-157.5139902,343.5170117
0.024809924,-189.0399825,-163.444249,340.763802
0.025610244,-183.5803865,-170.4561284,340.5252186
0.026410564,-178.1207906,-177.4680077,340.2866351
0.027210884,-172.6611946,-184.4798871,340.0480517
0.028011204,-167.2015987,-191.4917664,339.8094682
0.028811525,-161.7420028,-198.5036457,339.5708848
0.029611845,-153.9844874,-203.4972296,336.3773369
0.030412165,-147.9159125,-209.9742341,335.355649
0.031212485,-141.8473377,-216.4512386,334.3339611
0.032012805,-135.7787629,-222.9282431,333.3122733
0.032813125,-129.7101881,-229.4052476,332.2905854
0.033613445,-123.6416133,-235.8822522,331.2688975
0.034413766,-115.4723331,-239.6676752,327.6513233
0.035214086,-108.8472776,-245.4316749,325.9419804
0.036014406,-102.2222221,-251.1956746,324.2326374
0.036814726,-95.59716658,-256.9596742,322.5232945
0.037615046,-88.97211107,-262.7236739,320.8139516
0.038415366,-82.34705556,-268.4876735,319.1046087
0.039215686,-74.60811377,-271.601628,315.6252739
0.040016006,-67.50516979,-276.2286839,313.1565549
0.040816327,-60.33654369,-280.6994755,310.5834654
0.041616647,-53.10223546,-285.0140029,307.9060054
0.042416967,-45.8022451,-289.1722661,305.1241749
0.043217287,-38.43657261,-293.174265,302.237974
0.044017607,-30.81553254,-297.4051321,299.4474485
0.044817927,-23.23714921,-301.2597664,296.4382963
0.045618247,-15.58190573,-304.9808321,293.3365621
0.046418567,-7.849802094,-308.5683291,290.1422461
0.047218888,-0.040838294,-312.0222575,286.8553482
0.048019208,7.844985665,-315.3426172,283.4758684
0.048819528,15.16403982,-318.00963,279.8899194
0.049619848,22.9276781,-320.8400381,276.2764556
0.050420168,30.73027189,-323.5062668,272.5637027
0.051220488,38.57182118,-326.008316,268.751661
0.052020808,46.45232597,-328.3461858,264.8403303
0.052821128,54.37178627,-330.5198761,260.8297106
0.053621449,60.63266979,-331.7028574,256.9880708
0.054421769,67.90265893,-333.1940259,252.8938247
0.055222089,75.11169575,-334.4723698,248.7160786
0.056022409,82.25978026,-335.5378891,244.4548324
0.056822729,89.34691245,-336.3905837,240.1100862
0.057623049,96.37309234,-337.0304537,235.6818399
