Time,M
0,7368438.95
8.00E-04,7366983.85
0.00160064,7369259.936
0.00240096,7370004.041
0.003201281,7370892.68
0.004001601,7371795.891
0.004801921,7372681.228
0.005602241,7373647.465
0.006402561,7374604.964
0.007202881,7375542.728
0.008003201,7376411.89
0.008803521,7377261.428
0.009603842,7378091.676
0.010404162,7378864.576
0.011204482,7379603.604
0.012004802,7380311.902
0.012805122,7380992.937
0.013605442,7381650.508
0.014405762,7382215.53
0.015206082,7382345.647
0.016006403,7382329.731
0.016806723,7382172.835
0.017607043,7381880.188
0.018407363,7381457.191
0.019207683,7380667.609
0.020008003,7379069.998
0.020808323,7377108.564
0.021608643,7374788.035
0.022408964,7372113.079
0.023209284,7369088.301
0.024009604,7366903.907
0.024809924,7366402.847
0.025610244,7366384.356
0.026410564,7366849.936
0.027210884,7367800.928
0.028011204,7369238.508
0.028811525,7369950.114
0.029611845,7369803.515
0.030412165,7369502.408
0.031212485,7369044.625
0.032012805,7368427.769
0.032813125,7367649.211
0.033613445,7367055.879
0.034413766,7366546.252
0.035214086,7366005.828
0.036014406,7365430.003
0.036814726,7364814.11
0.037615046,7364153.428
0.038415366,7364170.87
0.039215686,7364618.6
0.040016006,7365464.776
0.040816327,7366764.055
0.041616647,7368571.415
0.042416967,7370932.866
0.043217287,7372216.919
0.044017607,7373374.73
0.044817927,7374346.831
0.045618247,7375074.405
0.046418567,7375499.329
0.047218888,7375677.793
0.048019208,7376344.663
0.048819528,7376999.597
0.049619848,7377652.951
0.050420168,7378315.752
0.051220488,7378999.691
0.052020808,7379560.249
0.052821128,7379586.444
0.053621449,7379350.604
0.054421769,7378821.414
0.055222089,7377967.962
0.056022409,7376759.695
0.056822729,7375712.357
0.057623049,7375465.401
0.058423369,7375512.1
0.059223689,7375923.212
0.06002401,7376769.382
0.06082433,7378121.092
0.06162465,7378727.723
0.06242497,7378242.448
0.06322529,7377518.103
0.06402561,7376558.185
0.06482593,7375366.035
0.065626251,7373944.833
0.066426571,7372935.387
0.067226891,7372209.01
0.068027211,7371531.641
0.068827531,7370902.994
0.069627851,7370322.537
0.070428171,7369789.486
0.071228491,7369266.646
0.072028812,7368764.926
0.072829132,7368286.507
0.073629452,7367827.761
0.074429772,7367384.907
0.075230092,7366954.013
0.076030412,7366907.253
0.076830732,7366982.52
0.077631052,7367166.611
0.078431373,7367454.604
0.079231693,7367841.632
0.080032013,7368314.721
0.080832333,7368792.466
0.081632653,7369313.475
0.082432973,7369868.055
0.083233293,7370447.011
0.084033613,7371041.714
0.084833934,7371620.625
0.085634254,7372099.618
0.086434574,7372518.225
0.087234894,7372862.952
0.088035214,7373121.037
0.088835534,7373280.476
0.089635854,7373565.144
0.090436174,7374310.808
0.091236495,7375271.234
0.092036815,7376484.248
0.092837135,7377988.175
0.093637455,7379821.817
0.094437775,7381335.922
0.095238095,7382144.31
0.096038415,7382663.28
0.096838735,7382833.217
0.097639056,7382594.724
0.098439376,7381888.572
0.099239696,7381206.041
0.100040016,7380550.52
0.100840336,7379708.72
0.101640656,7378681.502
0.102440976,7377469.371
0.103241297,7376072.418
0.104041617,7375127.663
0.104841937,7374371.803
0.105642257,7373675.815
0.106442577,7373041.293
0.107242897,7372469.608
0.108043217,7371961.905
0.108843537,7371358.875
0.109643858,7370757.609
0.110444178,7370164.433
0.111244498,7369577.344
0.112044818,7368994.109
0.112845138,7368431.653
0.113645458,7368127.213
0.114445778,7367893.286
0.115246098,7367725.341
0.116046419,7367618.779
0.116846739,7367568.936
0.117647059,7367562.474
0.118447379,7367564.23
0.119247699,7367594.526
0.120048019,7367648.706
0.120848339,7367722.296
0.121648659,7367810.998
0.12244898,7368026.757
0.1232493,7368571.672
0.12404962,7369309.277
0.12484994,7370263.563
0.12565026,7371459.171
0.12645058,7372921.442
0.1272509,7374311.99
0.12805122,7375375.433
0.128851541,7376368.481
0.129651861,7377262.479
0.130452181,7378029.453
0.131252501,7378642.117
0.132052821,7379111.038
0.132853141,7379417.679
0.133653461,7379523.886
0.134453782,7379408.645
0.135254102,7379051.341
0.136054422,7378431.718
0.136854742,7378190.096
0.137655062,7378206.875
0.138455382,7378371.876
0.139255702,7378726.397
0.140056022,7379311.611
0.140856343,7380168.5
0.141656663,7380177.417
0.142456983,7379845.373
0.143257303,7379211.376
0.144057623,7378225.373
0.144857943,7376836.778
0.145658263,7375051.41
0.146458583,7374118.163
0.147258904,7373171.536
0.148059224,7372211.642
0.148859544,7371238.35
0.149659864,7370251.279
0.150460184,7369293.564
0.151260504,7368552.223
0.152060824,7367864.622
0.152861144,7367227.356
0.153661465,7366636.854
0.154461785,7366089.371
0.155262105,7365693.854
0.156062425,7365638.786
0.156862745,7365723.086
0.157663065,7365941.831
0.158463385,7366290.141
0.159263705,7366763.178
0.160064026,7367238.973
0.160864346,7367636.969
0.161664666,7368066.966
0.162464986,7368525.266
0.163265306,7369008.452
0.164065626,7369513.389
0.164865946,7369858.523
0.165666267,7369986.072
0.166466587,7369964.806
0.167266907,7369772.522
0.168067227,7369387.776
0.168867547,7368789.912
0.169667867,7369046.15
0.170468187,7370051.494
0.171268507,7371597.151
0.172068828,7373771.25
0.172869148,7376662.438
0.173669468,7380359.872
0.174469788,7382397.002
0.175270108,7383761.798
0.176070428,7384614.173
0.176870748,7384839.661
0.177671068,7384324.079
0.178471389,7382981.12
0.179271709,7382623.163
0.180072029,7382110.178
0.180872349,7381462.233
0.181672669,7380699.089
0.182472989,7379840.135
0.183273309,7378900.031
0.184073629,7377869.269
0.18487395,7376780.113
0.18567427,7375646.736
0.18647459,7374482.57
0.18727491,7373300.28
0.18807523,7372181.485
0.18887555,7371264.723
0.18967587,7370400.496
0.19047619,7369587.07
0.191276511,7368822.482
0.192076831,7368104.537
0.192877151,7367498.692
0.193677471,7367056.004
0.194477791,7366696.288
0.195278111,7366415.079
0.196078431,7366207.83
0.196878752,7366069.916
0.197679072,7365660.549
0.198479392,7364913.837
0.199279712,7364037.996
0.200080032,7363028.391
0.200880352,7361880.56
0.201680672,7360590.224
0.202480992,7360775.582
0.203281313,7362072.029
0.204081633,7363913.408
0.204881953,7366297.489
0.205682273,7369222.397
0.206482593,7372686.618
0.207282913,7375203.377
0.208083233,7377213.696
0.208883553,7378803.328
0.209683874,7379849.406
0.210484194,7380229.836
0.211284514,7379823.334
0.212084834,7380595.33
0.212885154,7381361.149
0.213685474,7382123.078
0.214485794,7382907.344
0.215286114,7383740.575
0.216086435,7384569.889
0.216886755,7384746.847
0.217687075,7384673.45
0.218487395,7384322.289
0.219287715,7383665.879
0.220088035,7382676.575
0.220888355,7381478.64
0.221688675,7380509.394
0.222488996,7379459.433
0.223289316,7378346.906
0.224089636,7377189.489
0.224889956,7376004.343
0.225690276,7374796.562
0.226490596,7373564.98
0.227290916,7372334.557
0.228091236,7371116.498
0.228891557,7369921.175
0.229691877,7368758.129
0.230492197,7367538.143
0.231292517,7366213.544
0.232092837,7364842.794
0.232893157,7363418.796
0.233693477,7361933.861
0.234493798,7360379.761
0.235294118,7359524.385
0.236094438,7359425.779
0.236894758,7359872.257
0.237695078,7360939.955
0.238495398,7362705.012
0.239295718,7365243.668
0.240096038,7366875.639
0.240896359,7368093.352
0.241696679,7369130.059
0.242496999,7369908.825
0.243297319,7370353.192
0.244097639,7370387.261
0.244897959,7371208.759
0.245698279,7372101.068
0.246498599,7373014.12
0.24729892,7373947.345
0.24809924,7374900.574
0.24889956,7375876.536
0.24969988,7376904.176
0.2505002,7377966.022
0.25130052,7379064.505
0.25210084,7380202.42
0.25290116,7381382.932
0.253701481,7382464.346
0.254501801,7382985.025
0.255302121,7383355.074
0.256102441,7383579.354
0.256902761,7383662.935
0.257703081,7383611.106
0.258503401,7383368.252
0.259303721,7382859.358
0.260104042,7382176.9
0.260904362,7381325.8
0.261704682,7380310.957
0.262505002,7379137.253
0.263305322,7377767.424
0.264105642,7376184.248
0.264905962,7374423.908
0.265706283,7372488.703
0.266506603,7370380.723
0.267306923,7368101.854
0.268107243,7366663.103
0.268907563,7366000.722
0.269707883,7365643.274
0.270508203,7365589.071
0.271308523,7365836.201
0.272108844,7366382.533
0.272909164,7366701.822
0.273709484,7366878.765
0.274509804,7366973.08
0.275310124,7366931.396
0.276110444,7366700.009
0.276910764,7366224.951
0.277711084,7366184.338
0.278511405,7366217.804
0.279311725,7366278.593
0.280112045,7366368.631
0.280912365,7366490.066
0.281712685,7366665.793
0.282513005,7367292.607
0.283313325,7368161.824
0.284113645,7369306.804
0.284913966,7370761.511
0.285714286,7372560.568
0.286514606,7374554.272
0.287314926,7375924.387
0.288115246,7377201.02
0.288915566,7378344.236
0.289715886,7379314.805
0.290516206,7380074.208
0.291316527,7380711.13
0.292116847,7381439.641
0.292917167,7382061.42
0.293717487,7382570.096
0.294517807,7382959.739
0.295318127,7383224.813
0.296118447,7383223.714
0.296918768,7382888.909
0.297719088,7382357.18
0.298519408,7381633.802
0.299319728,7380724.158
0.300120048,7379633.739
0.300920368,7378678.165
0.301720688,7377871.474
0.302521008,7377052.153
0.303321329,7376224.071
0.304121649,7375390.977
0.304921969,7374556.502
0.305722289,7373611.792
0.306522609,7372590.704
0.307322929,7371524.815
0.308123249,7370414.528
0.308923569,7369260.002
0.30972389,7368061.148
0.31052421,7366978.48
0.31132453,7365915.29
0.31212485,7364851.409
0.31292517,7363783.621
0.31372549,7362708.524
0.31452581,7361642.076
0.31532613,7361414.912
0.316126451,7361575.315
0.316926771,7362177.39
0.317727091,7363275.131
0.318527411,7364922.51
0.319327731,7366947.967
0.320128051,7368088.615
0.320928371,7369146.588
0.321728691,7370063.619
0.322529012,7370781.828
0.323329332,7371243.812
0.324129652,7371638.031
0.324929972,7372493.443
0.325730292,7373390.801
0.326530612,7374340.494
0.327330932,7375353.626
0.328131253,7376442.052
0.328931573,7377533.089
0.329731893,7378547.516
0.330532213,7379566.598
0.331332533,7380589.621
0.332132853,7381616.481
0.332933173,7382647.671
0.333733493,7383423.162
0.334533814,7383840.641
0.335334134,7384013.308
0.336134454,7383908.988
0.336934774,7383495.693
0.337735094,7382741.551
0.338535414,7382080.681
0.339335734,7381445.716
