Time,U,V,W
0,-434.1858262,-18.74547727,496.4196357
8.00E-04,-427.3661695,-19.91670348,490.1955776
0.00160064,-420.9748756,-35.2668203,499.011878
0.00240096,-420.9748756,-35.2668203,499.011878
0.003201281,-407.3621869,-61.45315432,509.3608234
0.004001601,-407.3621869,-61.45315432,509.3608234
0.004801921,-407.3621869,-61.45315432,509.3608234
0.005602241,-387.9018973,-95.53280966,520.4044369
0.006402561,-387.9018973,-95.53280966,520.4044369
0.007202881,-387.9018973,-95.53280966,520.4044369
0.008003201,-367.1781899,-129.7209422,529.08014
0.008803521,-367.1781899,-129.7209422,529.08014
0.009603842,-355.7151243,-146.7309669,531.5127562
0.010404162,-348.0949054,-158.0385976,533.1298689
0.011204482,-340.4746865,-169.3462282,534.7469815
0.012004802,-332.8544676,-180.6538589,536.3640942
0.012805122,-325.2342487,-191.9614895,537.9812068
0.013605442,-317.6140298,-203.2691202,539.5983195
0.014405762,-307.8876032,-213.879334,536.9748343
0.015206082,-299.5897164,-224.9625722,537.2275434
0.016006403,-291.2918295,-236.0458104,537.4802525
0.016806723,-282.9939426,-247.1290486,537.7329615
0.017607043,-274.6960558,-258.2122868,537.9856706
0.018407363,-266.3981689,-269.295525,538.2383797
0.019207683,-254.9452409,-280.5320391,534.3593296
0.020008003,-245.6754734,-291.6624925,533.3392893
0.020808323,-236.4057059,-302.7929458,532.319249
0.021608643,-227.1359384,-313.9233992,531.2992086
0.022408964,-217.8661709,-325.0538526,530.2791683
0.023209284,-208.5964034,-336.184306,529.2591279
0.024009604,-200.3119877,-336.4676349,519.7651126
0.024809924,-191.3333457,-344.3932683,516.2414074
0.025610244,-182.3547037,-352.3189016,512.7177022
0.026410564,-173.3760618,-360.244535,509.193997
0.027210884,-164.3974198,-368.1701684,505.6702918
0.028011204,-155.4187779,-376.0958017,502.1465866
0.028811525,-141.9681416,-388.5085617,499.8205392
0.029611845,-131.7201037,-397.7078864,496.6367947
0.030412165,-121.4720657,-406.9072111,493.4530501
0.031212485,-111.2240278,-416.1065359,490.2693056
0.032012805,-100.9759899,-425.3058606,487.085561
0.032813125,-90.72795194,-434.5051853,483.9018164
0.033613445,-79.31717085,-436.8898486,476.229346
0.034413766,-68.75155056,-444.2278713,471.8195869
0.035214086,-58.18593028,-451.565894,467.4098277
0.036014406,-47.62031,-458.9039167,463.0000685
0.036814726,-37.05468972,-466.2419393,458.5903093
0.037615046,-26.48906943,-473.579962,454.1805501
0.038415366,-14.36965718,-476.8140068,447.0560942
0.039215686,-3.140154946,-482.3985407,441.4864384
0.040016006,8.181165625,-487.7405579,435.7563627
0.040816327,19.59430454,-492.8400585,429.8658673
0.041616647,31.09926179,-497.6970424,423.8149521
0.042416967,42.52033168,-502.4615378,417.7822227
0.043217287,54.11157058,-506.916616,411.5094298
0.044017607,65.77934131,-511.14223,405.0917558
0.044817927,77.52364386,-515.13838,398.5292009
0.045618247,89.34447824,-518.9050659,391.8217651
0.046418567,101.2418445,-522.4422876,384.9694483
0.047218888,112.3442646,-525.1351434,377.9557012
0.048019208,123.934238,-527.8885456,370.8048784
0.048819528,135.5299798,-530.3625541,363.5078309
0.049619848,147.13149,-532.557169,356.0645586
0.050420168,158.7387688,-534.4723901,348.4750616
0.051220488,170.351816,-536.1082176,340.7393398
0.052020808,182.0996883,-537.7470147,332.771185
0.052821128,193.7894622,-538.9666837,324.6994678
0.053621449,205.4948145,-539.9284221,316.4749729
0.054421769,217.2157452,-540.6322299,308.0977004
0.055222089,228.9522543,-541.0781073,299.5676502
0.056022409,240.7043418,-541.266054,290.8848223
0.056822729,247.5967044,-538.3154651,282.9984397
0.057623049,257.0202194,-536.5932891,274.4694964
0.058423369,266.1114544,-534.4076482,265.8555037
0.059223689,274.8704097,-531.7585424,257.1564613
0.06002401,283.2970852,-528.6459718,248.3723694
0.06082433,291.3914808,-525.0699363,239.5032279
0.06162465,306.6547836,-526.4420653,228.708601
0.06242497,317.1157181,-524.7200284,219.3680323
0.06322529,327.5766526,-522.9979915,210.0274635
0.06402561,338.0375871,-521.2759546,200.6868948
0.06482593,348.4985216,-519.5539177,191.3463261
0.065626251,358.9594561,-517.8318808,182.0057573
0.066426571,364.7260042,-511.2512519,170.9983917
0.067226891,373.8934884,-508.1905209,161.1985683
0.068027211,383.0609725,-505.1297899,151.3987449
0.068827531,392.2284567,-502.0690588,141.5989215
0.069627851,401.3959409,-499.0083278,131.7990981
0.070428171,410.563425,-495.9475968,121.9992747
0.071228491,414.5598563,-489.2393688,110.8173317
0.072028812,422.3548544,-485.2105297,100.6506701
0.072829132,430.1498526,-481.1816905,90.4840085
0.073629452,437.9448508,-477.1528514,80.3173469
0.074429772,445.739849,-473.1240122,70.15068529
0.075230092,453.5348472,-469.0951731,59.98402369
0.076030412,457.3041607,-461.9413406,47.00915936
0.076830732,464.0685064,-457.1124431,36.12354395
0.077631052,470.832852,-452.2835457,25.23792854
0.078431373,477.5971976,-447.4546482,14.35231312
0.079231693,484.3615433,-442.6257508,3.466697713
0.080032013,488.2041301,-435.8942102,-8.482040654
0.080832333,493.40809,-430.0491929,-19.9354243
0.081632653,498.3710678,-424.0472486,-31.47649268
0.082432973,503.0930634,-417.8883771,-43.10524582
0.083233293,507.5740768,-411.5725786,-54.82168369
0.084033613,511.814108,-405.099853,-66.62580632
0.084833934,515.8784394,-398.5492607,-78.2814179
0.085634254,519.6698186,-391.803024,-90.14038363
0.086434574,523.2252528,-384.9059604,-102.0688096
0.087234894,526.5447419,-377.8580699,-114.0666957
0.088035214,529.6282859,-370.6593525,-126.134042
0.088835534,532.4758849,-363.3098082,-138.2708486
0.089635854,532.6953263,-356.0261381,-147.2827216
0.090436174,533.9019371,-348.480844,-157.9973165
0.091236495,534.6994469,-340.8004085,-168.5501514
0.092036815,535.087856,-332.9848316,-178.9412264
0.092837135,535.0671642,-325.0341133,-189.1705415
0.093637455,534.6373715,-316.9482536,-199.2380966
0.094437775,537.1318212,-308.7088828,-212.4828266
0.095238095,537.4473027,-300.3441241,-223.7929603
0.096038415,537.5806024,-291.8429736,-235.1686338
0.096838735,537.5317202,-283.2054311,-246.609847
0.097639056,537.3006562,-274.4314967,-258.1166
0.098439376,536.8874105,-265.5211703,-269.6888928
0.099239696,534.5640529,-256.4998557,-278.6231677
0.100040016,533.0070989,-247.3282033,-289.1071599
0.100840336,531.1570767,-238.0217891,-299.4831967
0.101640656,529.0139863,-228.5806133,-309.751278
0.102440976,526.5778278,-219.0046758,-319.9114038
0.103241297,523.8486011,-209.2939766,-329.9635741
0.104041617,519.9006545,-200.3616379,-336.606747
0.104841937,517.1437745,-190.9965865,-345.8563738
0.105642257,514.3868945,-181.631535,-355.1060005
0.106442577,511.6300144,-172.2664836,-364.3556273
0.107242897,508.8731344,-162.9014322,-373.6052541
0.108043217,506.1162543,-153.5363807,-382.8548808
0.108843537,500.7795888,-141.4871923,-390.1879603
0.109643858,497.3567987,-131.429295,-398.9428761
0.110444178,493.9340087,-121.3713978,-407.697792
0.111244498,490.5112187,-111.3135005,-416.4527079
0.112044818,487.0884286,-101.2556033,-425.2076238
0.112845138,480.8039621,-89.67817975,-429.9461004
0.113645458,476.4311995,-79.11585501,-437.3677045
0.114445778,472.0584369,-68.55353028,-444.7893086
0.115246098,467.6856743,-57.99120554,-452.2109126
0.116046419,463.3129117,-47.4288808,-459.6325167
0.116846739,458.940149,-36.86655607,-467.0541208
0.117647059,451.7497802,-24.24391666,-470.5260134
0.118447379,446.4827326,-13.02766507,-476.6940117
0.119247699,441.2156851,-1.811413489,-482.86201
0.120048019,435.9486375,9.404838094,-489.0300083
0.120848339,430.68159,20.62108968,-495.1980066
0.121648659,425.4145424,31.83734126,-501.3660049
0.12244898,417.9121544,43.14763309,-503.202499
0.1232493,411.5419575,54.41029391,-507.2328829
0.12404962,405.0075973,65.67986103,-510.9451616
0.12484994,398.309074,76.95633447,-514.3393349
0.12565026,391.4463874,88.23971421,-517.4154028
0.12645058,384.4195376,99.53000026,-520.1733655
0.1272509,377.7445328,111.6341977,-524.2315542
0.12805122,370.6336453,123.320349,-527.1194571
0.128851541,363.3942149,135.0691145,-529.8009689
0.129651861,356.0262415,146.8804943,-532.2760896
0.130452181,348.5297252,158.7544884,-534.5448191
0.131252501,340.9046659,170.6910967,-536.6071575
0.132052821,332.85252,181.439576,-537.2400213
0.132853141,324.834524,192.9322685,-538.3330195
0.133653461,316.668568,204.4062274,-539.1400777
0.134453782,308.3546519,215.8614529,-539.661196
0.135254102,299.8927756,227.2979448,-539.8963745
0.136054422,291.2829394,238.7157033,-539.845613
0.136854742,283.2255369,246.5363563,-537.603901
0.137655062,274.6266671,256.3487378,-536.1465547
0.138455382,265.9228502,265.9226288,-534.2862768
0.139255702,257.1140863,275.2580291,-532.0230674
0.140056022,248.2003752,284.3549388,-529.3569264
0.140856343,239.1817171,293.2133579,-526.2878539
0.141656663,229.4736963,306.7473565,-527.457035
0.142456983,219.9981735,317.2054512,-525.5434368
0.143257303,210.3837466,327.7105833,-523.4965792
0.144057623,200.6304156,338.2627528,-521.3164622
0.144857943,190.7381806,348.8619596,-519.0030859
0.145658263,180.8945993,355.5030073,-514.3403754
0.146458583,171.130659,364.7362772,-511.3461837
0.147258904,161.3667187,373.9695471,-508.351992
0.148059224,151.6027784,383.202817,-505.3578002
0.148859544,141.8388381,392.4360868,-502.3636085
0.149659864,132.0748978,401.6693567,-499.3694168
0.150460184,120.6696683,407.3985834,-493.5374065
0.151260504,110.3794711,415.5083301,-489.6333073
0.152060824,100.089274,423.6180767,-485.7292081
0.152861144,89.79907691,431.7278233,-481.8251089
0.153661465,79.5088798,439.83757,-477.9210097
0.154461785,69.21868268,447.9473166,-474.0169105
0.155262105,57.48607512,451.1861764,-466.9719971
0.156062425,46.75302709,457.8004564,-462.1036007
0.156862745,36.01997906,464.4147364,-457.2352042
0.157663065,25.28693102,471.0290163,-452.3668077
0.158463385,14.55388299,477.6432963,-447.4984113
0.159263705,3.820834951,484.2575763,-442.6300148
0.160064026,-9.071444534,486.8583195,-434.953784
0.160864346,-20.44042022,492.2905497,-429.2584361
0.161664666,-31.80939591,497.7227799,-423.5630882
0.162464986,-43.1783716,503.1550101,-417.8677403
0.163265306,-54.54734729,508.5872403,-412.1723924
0.164065626,-65.91632298,514.0194705,-406.4770445
0.164865946,-78.84116754,516.2997969,-398.4854736
0.165666267,-90.92450678,520.2848581,-391.735835
0.166466587,-103.1104173,524.0621287,-384.834817
0.167266907,-115.3988992,527.6316088,-377.7824195
0.168067227,-127.7899523,530.9932982,-370.5786426
0.168867547,-140.2835767,534.1471971,-363.2234862
0.169667867,-146.9355879,532.3576391,-356.0095899
0.170468187,-157.0074293,533.0031141,-348.4810014
0.171268507,-166.8120012,533.1461505,-340.8192412
0.172068828,-176.3493038,532.7867484,-333.0243092
0.172869148,-185.6193371,531.9249077,-325.0962055
0.173669468,-194.622101,530.5606284,-317.03493
0.174469788,-211.0241143,535.9208736,-308.7975668
0.175270108,-222.7588508,536.6309448,-300.4516624
0.176070428,-234.6774211,537.263817,-291.970061
0.176870748,-246.7798254,537.8194901,-283.3527627
0.177671068,-259.0660636,538.2979641,-274.5997675
0.178471389,-267.6153076,535.7075432,-265.7745172
0.179271709,-278.1050033,534.3802693,-256.7851465
0.180072029,-288.4392864,532.7169422,-247.6655682
0.180872349,-298.6181569,530.717562,-238.4157822
0.181672669,-308.6416149,528.3821287,-229.0357884
0.182472989,-318.5096604,525.7106423,-219.525587
0.183273309,-328.4129229,524.0983558,-210.257817
0.184073629,-338.0705037,521.4893196,-200.6833828
0.18487395,-347.5880699,518.6569308,-191.0088406
0.18567427,-356.9656215,515.6011895,-181.2341903
0.18647459,-366.2031586,512.3220958,-171.3594321
0.18727491,-375.3006811,508.8196496,-161.3845658
0.18807523,-382.5235001,504.7529633,-151.1150691
0.18887555,-391.1610895,501.2691185,-141.1356002
0.18967587,-399.7986788,497.7852738,-131.1561312
0.19047619,-408.4362682,494.301429,-121.1766622
0.191276511,-417.0738576,490.8175843,-111.1971932
0.192076831,-425.7114469,487.3337395,-101.2177242
0.192877151,-430.4262314,480.9546344,-89.37669192
0.193677471,-437.897542,476.6100075,-78.84376647
0.194477791,-445.3688526,472.2653806,-68.31084101
0.195278111,-452.8401632,467.9207536,-57.77791556
0.196078431,-460.3114738,463.5761267,-47.24499011
0.196878752,-467.7827844,459.2314997,-36.71206465
0.197679072,-472.4959629,452.0640036,-22.51350356
0.198479392,-479.1796466,446.913263,-10.93379952
0.199279712,-485.8633302,441.7625224,0.645904533
0.200080032,-492.5470138,436.6117818,12.22560858
0.200880352,-499.2306974,431.4610412,23.80531263
0.201680672,-505.914381,426.3103006,35.38501668
0.202480992,-500.2633889,416.7521379,42.23267687
0.203281313,-503.5585443,410.3906095,52.51241451
0.204081633,-506.8536998,404.0290812,62.79215214
0.204881953,-510.1488552,397.6675529,73.07188978
0.205682273,-513.4440106,391.3060245,83.35162742
0.206482593,-516.739166,384.9444962,93.63136506
0.207282913,-521.1583793,377.2715011,108.889501
0.208083233,-524.9364515,370.3465416,121.3080536
0.208883553,-528.7815091,363.3434284,134.0232815
0.209683874,-532.6935522,356.2621617,147.0351846
0.210484194,-536.6725806,349.1027414,160.3437631
0.211284514,-540.7185946,341.8651675,173.9490168
0.212084834,-536.7818103,333.09893,180.5768654
0.212885154,-537.6236027,325.103532,191.7589564
0.213685474,-538.0780552,316.9481143,202.8271776
0.214485794,-538.1451679,308.6326771,213.781529
0.215286114,-537.8249406,300.1572203,224.6220107
0.216086435,-538.0728516,291.9318564,235.5349874
0.216886755,-537.4863711,283.3545884,246.2468974
0.217687075,-536.5909404,274.6509474,256.8602275
0.218487395,-535.3865595,265.8209335,267.3749776
0.219287715,-533.8732284,256.8645465,277.7911478
0.220088035,-532.0509471,247.7817866,288.108738
0.220888355,-530.7873772,238.541974,298.4498507
0.221688675,-528.788424,229.1908667,308.6323733
0.222488996,-526.5471293,219.7110312,318.7256895
0.223289316,-524.0634931,210.1024675,328.7297993
0.224089636,-521.3375154,200.3651756,338.6447027
0.224889956,-518.3691962,190.4991555,348.4703997
0.225690276,-515.8049657,181.0929401,357.1677489
0.226490596,-512.6668478,171.2561454,366.3088542
0.227290916,-509.3329518,161.3330155,375.2859022
0.228091236,-505.8032777,151.3235503,384.0988929
0.228891557,-502.0778255,141.2277498,392.7478261
0.229691877,-498.1565951,131.0456141,401.232702
0.230492197,-494.8798112,120.2758276,409.8969679
0.231292517,-490.9598979,109.6866156,418.2143187
0.232092837,-486.901138,98.97710044,426.3908832
0.232893157,-482.7035317,88.14728204,434.4266616
0.233693477,-478.3670788,77.19716043,442.3216537
0.234493798,-473.8917795,66.12673562,450.0758597
0.235294118,-467.9231617,57.62283786,452.9095803
0.236094438,-462.5610801,47.52004104,458.2328421
0.236894758,-456.9736224,37.46858728,463.10997
