H,B
35.059435,0.128774
35.215068,0.129874
35.371392,0.130984
35.52841,0.132101
35.686125,0.133228
35.84454,0.134364
36.003658,0.135509
36.163483,0.136664
36.324017,0.137827
36.485263,0.139
36.647226,0.140182
36.809907,0.141373
36.973311,0.142574
37.137439,0.143785
37.302297,0.145005
37.467886,0.146235
37.634211,0.147475
37.801273,0.148724
37.969078,0.149983
38.137627,0.151253
38.306924,0.152532
38.476973,0.153821
38.647777,0.155121
38.819339,0.15643
38.991663,0.15775
39.164752,0.159081
39.338609,0.160421
39.513237,0.161772
39.688641,0.163134
39.864824,0.164506
40.041789,0.165889
40.219539,0.167283
40.398078,0.168688
40.57741,0.170103
40.757538,0.17153
40.938466,0.172967
41.120196,0.174416
41.302734,0.175875
41.486082,0.177346
41.670243,0.178828
41.855222,0.180322
42.041023,0.181827
42.227648,0.183344
42.415101,0.184872
42.603387,0.186411
42.792509,0.187963
42.98247,0.189526
43.173274,0.191101
43.364925,0.192688
43.557427,0.194287
43.750784,0.195899
43.944999,0.197522
44.140076,0.199157
44.336019,0.200805
44.532832,0.202465
44.730518,0.204138
44.929082,0.205823
45.128528,0.207521
45.328859,0.209231
45.530079,0.210954
45.732192,0.21269
45.935203,0.214438
46.139115,0.2162
46.343932,0.217974
46.549658,0.219762
46.756298,0.221563
46.963854,0.223377
47.172332,0.225204
47.381736,0.227044
47.592069,0.228898
47.803336,0.230766
48.015541,0.232647
48.228687,0.234541
48.44278,0.23645
48.657824,0.238372
48.873821,0.240308
49.090778,0.242258
49.308698,0.244221
49.527585,0.246199
49.747444,0.248191
49.968279,0.250197
50.190094,0.252218
50.412894,0.254252
50.636683,0.256301
50.861465,0.258365
51.087245,0.260443
51.314027,0.262535
51.541816,0.264643
51.770617,0.266765
52.000433,0.268901
52.231269,0.271053
52.463129,0.273219
52.69602,0.275401
52.929943,0.277597
53.164906,0.279809
53.400911,0.282036
53.637964,0.284277
53.876069,0.286535
54.115232,0.288807
54.355456,0.291095
54.596746,0.293399
54.839107,0.295718
55.082545,0.298052
55.327063,0.300403
55.572666,0.302769
55.81936,0.30515
56.067149,0.307548
56.316037,0.309961
56.566031,0.312391
56.817134,0.314836
57.069352,0.317297
57.32269,0.319775
57.577152,0.322268
57.832744,0.324778
58.08947,0.327304
58.347336,0.329846
58.606347,0.332405
58.866508,0.33498
59.127823,0.337571
59.390299,0.340179
59.653939,0.342804
59.91875,0.345445
60.184737,0.348103
60.451904,0.350777
60.720257,0.353468
60.989801,0.356176
61.260542,0.358901
61.532485,0.361642
61.805635,0.3644
62.079998,0.367175
62.355578,0.369968
62.632382,0.372777
62.910415,0.375603
63.189681,0.378446
63.470188,0.381306
63.75194,0.384183
64.034942,0.387077
64.319201,0.389989
64.604721,0.392917
64.89151,0.395863
65.179571,0.398826
65.46891,0.401806
65.759535,0.404804
66.051449,0.407818
66.344659,0.41085
66.639171,0.4139
66.93499,0.416966
67.232123,0.42005
67.530574,0.423151
67.83035,0.42627
68.131457,0.429406
68.433901,0.432559
68.737687,0.435729
69.042822,0.438917
69.349311,0.442122
69.657161,0.445345
69.966378,0.448584
70.276967,0.451842
70.588935,0.455116
70.902287,0.458408
71.217031,0.461717
71.533172,0.465043
71.850716,0.468386
72.16967,0.471747
72.49004,0.475125
72.811832,0.47852
73.135052,0.481932
73.459707,0.485361
73.785803,0.488808
74.113347,0.492271
74.442345,0.495752
74.772804,0.499249
75.104729,0.502764
75.438128,0.506295
75.773007,0.509843
76.109372,0.513408
76.447231,0.51699
76.786589,0.520588
77.127454,0.524203
77.469832,0.527835
77.81373,0.531483
78.159154,0.535147
78.506112,0.538828
78.85461,0.542526
79.204655,0.546239
79.556254,0.549969
79.909413,0.553715
80.264141,0.557476
80.620443,0.561254
80.978327,0.565048
81.337799,0.568857
81.698867,0.572682
82.061538,0.576523
82.425819,0.580379
82.791717,0.58425
83.159239,0.588137
83.528393,0.592039
83.899186,0.595956
84.271624,0.599888
84.645716,0.603834
85.021468,0.607796
85.398889,0.611771
85.777984,0.615762
86.158763,0.619766
86.541232,0.623785
86.925399,0.627818
87.311271,0.631865
87.698856,0.635926
