Time,U,V,W
0,2.99E+08,-1.50E+08,-1.50E+08
0.0030012,2.99E+08,-1.44E+08,-1.55E+08
0.006002401,2.99E+08,-1.39E+08,-1.60E+08
0.009003601,2.99E+08,-1.33E+08,-1.66E+08
0.012004802,2.98E+08,-1.27E+08,-1.71E+08
0.015006002,2.98E+08,-1.22E+08,-1.76E+08
0.018007203,2.97E+08,-1.16E+08,-1.81E+08
0.021008403,2.96E+08,-1.10E+08,-1.86E+08
0.024009604,2.95E+08,-1.04E+08,-1.91E+08
0.027010804,2.94E+08,-9.84E+07,-1.96E+08
0.030012005,2.93E+08,-9.25E+07,-2.00E+08
0.033013205,2.91E+08,-8.65E+07,-2.05E+08
0.036014406,2.90E+08,-8.05E+07,-2.09E+08
0.039015606,2.88E+08,-7.44E+07,-2.14E+08
0.042016807,2.86E+08,-6.83E+07,-2.18E+08
0.045018007,2.85E+08,-6.22E+07,-2.22E+08
0.048019208,2.83E+08,-5.61E+07,-2.27E+08
0.051020408,2.80E+08,-4.99E+07,-2.31E+08
0.054021609,2.78E+08,-4.37E+07,-2.35E+08
0.057022809,2.76E+08,-3.75E+07,-2.38E+08
0.06002401,2.73E+08,-3.13E+07,-2.42E+08
0.06302521,2.71E+08,-2.50E+07,-2.46E+08
0.066026411,2.68E+08,-1.88E+07,-2.49E+08
0.069027611,2.65E+08,-1.25E+07,-2.53E+08
0.072028812,2.62E+08,-6266882.168,-2.56E+08
0.075030012,2.59E+08,1.83E-08,-2.59E+08
0.078031212,2.56E+08,6266882.168,-2.62E+08
0.081032413,2.53E+08,1.25E+07,-2.65E+08
0.084033613,2.49E+08,1.88E+07,-2.68E+08
0.087034814,2.46E+08,2.50E+07,-2.71E+08
0.090036014,2.42E+08,3.13E+07,-2.73E+08
0.093037215,2.38E+08,3.75E+07,-2.76E+08
0.096038415,2.35E+08,4.37E+07,-2.78E+08
0.099039616,2.31E+08,4.99E+07,-2.80E+08
0.102040816,2.27E+08,5.61E+07,-2.83E+08
0.105042017,2.22E+08,6.22E+07,-2.85E+08
0.108043217,2.18E+08,6.83E+07,-2.86E+08
0.111044418,2.14E+08,7.44E+07,-2.88E+08
0.114045618,2.09E+08,8.05E+07,-2.90E+08
0.117046819,2.05E+08,8.65E+07,-2.91E+08
0.120048019,2.00E+08,9.25E+07,-2.93E+08
0.12304922,1.96E+08,9.84E+07,-2.94E+08
0.12605042,1.91E+08,1.04E+08,-2.95E+08
0.129051621,1.86E+08,1.10E+08,-2.96E+08
0.132052821,1.81E+08,1.16E+08,-2.97E+08
0.135054022,1.76E+08,1.22E+08,-2.98E+08
0.138055222,1.71E+08,1.27E+08,-2.98E+08
0.141056423,1.66E+08,1.33E+08,-2.99E+08
0.144057623,1.60E+08,1.39E+08,-2.99E+08
0.147058824,1.55E+08,1.44E+08,-2.99E+08
0.150060024,1.50E+08,1.50E+08,-2.99E+08
0.153061224,1.44E+08,1.55E+08,-2.99E+08
0.156062425,1.39E+08,1.60E+08,-2.99E+08
0.159063625,1.33E+08,1.66E+08,-2.99E+08
0.162064826,1.27E+08,1.71E+08,-2.98E+08
0.165066026,1.22E+08,1.76E+08,-2.98E+08
0.168067227,1.16E+08,1.81E+08,-2.97E+08
0.171068427,1.10E+08,1.86E+08,-2.96E+08
0.174069628,1.04E+08,1.91E+08,-2.95E+08
0.177070828,9.84E+07,1.96E+08,-2.94E+08
0.180072029,9.25E+07,2.00E+08,-2.93E+08
0.183073229,8.65E+07,2.05E+08,-2.91E+08
0.18607443,8.05E+07,2.09E+08,-2.90E+08
0.18907563,7.44E+07,2.14E+08,-2.88E+08
0.192076831,6.83E+07,2.18E+08,-2.86E+08
0.195078031,6.22E+07,2.22E+08,-2.85E+08
0.198079232,5.61E+07,2.27E+08,-2.83E+08
0.201080432,4.99E+07,2.31E+08,-2.80E+08
0.204081633,4.37E+07,2.35E+08,-2.78E+08
0.207082833,3.75E+07,2.38E+08,-2.76E+08
0.210084034,3.13E+07,2.42E+08,-2.73E+08
0.213085234,2.50E+07,2.46E+08,-2.71E+08
0.216086435,1.88E+07,2.49E+08,-2.68E+08
0.219087635,1.25E+07,2.53E+08,-2.65E+08
0.222088836,6266882.168,2.56E+08,-2.62E+08
0.225090036,1.83E-08,2.59E+08,-2.59E+08
0.228091236,-6266882.168,2.62E+08,-2.56E+08
0.231092437,-1.25E+07,2.65E+08,-2.53E+08
0.234093637,-1.88E+07,2.68E+08,-2.49E+08
0.237094838,-2.50E+07,2.71E+08,-2.46E+08
0.240096038,-3.13E+07,2.73E+08,-2.42E+08
0.243097239,-3.75E+07,2.76E+08,-2.38E+08
0.246098439,-4.37E+07,2.78E+08,-2.35E+08
0.24909964,-4.99E+07,2.80E+08,-2.31E+08
0.25210084,-5.61E+07,2.83E+08,-2.27E+08
0.255102041,-6.22E+07,2.85E+08,-2.22E+08
0.258103241,-6.83E+07,2.86E+08,-2.18E+08
0.261104442,-7.44E+07,2.88E+08,-2.14E+08
0.264105642,-8.05E+07,2.90E+08,-2.09E+08
0.267106843,-8.65E+07,2.91E+08,-2.05E+08
