Time,M
0,6098931.845
0.0030012,6099768.393
0.006002401,6099836.084
0.009003601,6103867.856
0.012004802,6106135.481
0.015006002,6108073.221
0.018007203,6110001.17
0.021008403,6111932.324
0.024009604,6113866.324
0.027010804,6115803.301
0.030012005,6118406.773
0.033013205,6121076.436
0.036014406,6123739.995
0.039015606,6126381.574
0.042016807,6129009.201
0.045018007,6131622.232
0.048019208,6134220.011
0.051020408,6136646.931
0.054021609,6138639.476
0.057022809,6140444.288
0.06002401,6142060.675
0.06302521,6143487.96
0.066026411,6144315.264
0.069027611,6143595.078
0.072028812,6142150.848
0.075030012,6139982.242
0.078031212,6137088.991
0.081032413,6133702.306
0.084033613,6130557.244
0.087034814,6127054.435
0.090036014,6123193.905
0.093037215,6118975.722
0.096038415,6114495.337
0.099039616,6110251.681
0.102040816,6106002.284
0.105042017,6101803.988
0.108043217,6097713.733
0.111044418,6093950.305
0.114045618,6091599.149
0.117046819,6089818.654
0.120048019,6088609.418
0.12304922,6087972.059
0.12605042,6087875.149
0.129051621,6087948.789
0.132052821,6088456.567
0.135054022,6089399.069
0.138055222,6090776.874
0.141056423,6092553.321
0.144057623,6093675.274
0.147058824,6094865.739
0.150060024,6096125.035
0.153061224,6097453.434
0.156062425,6098851.16
0.159063625,6100927.832
0.162064826,6103282.834
0.165066026,6105911.075
0.168067227,6108812.526
0.171068427,6111987.123
0.174069628,6114747.136
0.177070828,6117349.319
0.180072029,6119759.937
0.183073229,6121912.193
0.18607443,6123739.237
0.18907563,6126050.005
0.192076831,6128519.643
0.195078031,6131090.241
0.198079232,6133785.058
0.201080432,6136627.316
0.204081633,6138918.343
0.207082833,6140829.637
0.210084034,6142407.41
0.213085234,6143595
0.216086435,6144335.784
0.219087635,6144213.368
0.222088836,6143209.404
0.225090036,6141296.151
0.228091236,6138374.596
0.231092437,6134345.863
0.234093637,6130456.14
0.237094838,6126616.891
0.240096038,6122550.987
0.243097239,6118333.08
0.246098439,6114037.888
0.24909964,6109766.917
0.25210084,6105598.882
0.255102041,6101603.723
0.258103241,6097860.355
0.261104442,6094447.775
0.264105642,6091851.744
0.267106843,6090009.94
0.270108043,6088714.388
0.273109244,6087965.7
0.276110444,6087764.505
0.279111645,6087908.42
0.282112845,6088364.853
0.285114046,6089249.154
0.288115246,6090561.891
0.291116447,6092303.621
0.294117647,6093946.847
0.297118848,6095307.309
0.300120048,6096750.139
0.303121248,6098275.596
0.306122449,6099883.895
0.309123649,6101735.209
0.31212485,6103921.144
0.31512605,6106306.982
0.318127251,6108892.671
0.321128451,6111678.12
0.324129652,6114472.35
0.327130852,6117043.917
0.330132053,6119524.98
0.333133253,6121870.525
0.336134454,6124035.484
0.339135654,6126208.093
0.342136855,6128713.372
0.345138055,6131303.22
0.348139256,6133994.509
0.351140456,6136804.07
0.354141657,6139460.442
0.357142857,6141383.594
0.360144058,6142905.476
0.363145258,6143953.812
0.366146459,6144456.368
0.369147659,6144315.267
0.37214886,6143388.692
0.37515006,6141640.556
0.378151261,6138989.67
0.381152461,6135354.973
0.384153661,6130998.772
0.387154862,6127084.159
0.390156062,6122908.889
0.393157263,6118545.632
0.396158463,6114067.13
0.399159664,6109581.218
0.402160864,6105335.769
0.405162065,6101318.384
0.408163265,6097622.127
0.411164466,6094340.14
0.414165666,6091615.401
0.417166867,6089748.953
0.420168067,6088450.386
0.423169268,6087720.308
0.426170468,6087559.345
0.429171669,6087926.402
0.432172869,6088378.361
0.43517407,6089232.301
0.43817527,6090488.779
0.441176471,6092148.339
0.444177671,6094171.647
0.447178872,6095602.546
0.450180072,6097100.217
0.453181273,6098664.907
0.456182473,6100296.817
0.459183673,6101996.098
0.462184874,6104091.514
0.465186074,6106364.215
0.468187275,6108813.225
0.471188475,6111438.439
0.474189676,6114239.718
0.477190876,6116823.179
0.480192077,6119339.516
0.483193277,6121767.312
0.486194478,6124068.405
