Time,U,V,W
0,-303.4295667,-88.47375649,485.7563769
0.0030012,-309.9166396,-102.3708183,508.4396236
0.006002401,-285.9833922,-98.41933045,479.0030715
0.009003601,-282.3734456,-111.8793375,489.9493049
0.012004802,-282.3734456,-111.8793375,489.9493049
0.015006002,-270.6877237,-128.0687608,494.3119307
0.018007203,-270.6877237,-128.0687608,494.3119307
0.021008403,-254.308537,-149.2634198,497.1434925
0.024009604,-254.308537,-149.2634198,497.1434925
0.027010804,-254.308537,-149.2634198,497.1434925
0.030012005,-236.9441887,-169.3268538,496.0038064
0.033013205,-236.9441887,-169.3268538,496.0038064
0.036014406,-226.2783589,-183.3575798,495.3240959
0.039015606,-219.8136329,-191.8618218,494.9121128
0.042016807,-213.348907,-200.3660638,494.5001297
0.045018007,-206.8841811,-208.8703058,494.0881466
0.048019208,-200.4194552,-217.3745479,493.6761635
0.051020408,-192.5841112,-224.8303812,486.7001352
0.054021609,-185.6405832,-232.9683795,483.9951148
0.057022809,-178.6970553,-241.1063778,481.2900943
0.06002401,-171.7535273,-249.244376,478.5850738
0.06302521,-164.8099993,-257.3823743,475.8800534
0.066026411,-156.3514262,-265.5540603,467.3961535
0.069027611,-148.8692977,-273.7040346,462.636734
0.072028812,-141.3871692,-281.8540089,457.8773144
0.075030012,-133.9050408,-290.0039832,453.1178949
0.078031212,-126.4229123,-298.1539575,448.3584753
0.081032413,-116.9926834,-303.5857757,436.8202808
0.084033613,-108.8055542,-310.7520727,429.6076811
0.087034814,-100.618425,-317.9183698,422.3950814
0.090036014,-92.43129575,-325.0846669,415.1824818
0.093037215,-84.24416654,-332.2509639,407.9698821
0.096038415,-75.83070026,-342.9343841,403.5955017
0.099039616,-67.50643023,-352.2317556,398.1026191
0.102040816,-59.15826152,-361.9004963,392.909421
0.105042017,-50.78619412,-371.9406062,388.0159073
0.108043217,-42.39022804,-382.3520853,383.4220782
0.111044418,-32.28329935,-391.9077629,378.1987581
0.114045618,-23.25954816,-401.7728684,373.1869632
0.117046819,-14.23579698,-411.6379739,368.1751684
0.120048019,-5.212045795,-421.5030794,363.1633735
0.12304922,3.811705389,-431.3681849,358.1515786
0.12605042,13.64965819,-436.6133713,352.6528391
0.129051621,22.98485654,-444.7112724,347.4547788
0.132052821,32.3200549,-452.8091735,342.2567186
0.135054022,41.65525325,-460.9070746,337.0586584
0.138055222,50.9904516,-469.0049756,331.8605982
0.141056423,58.94942287,-469.81644,324.6731673
0.144057623,67.74799334,-475.0731639,318.6993981
0.147058824,76.54656381,-480.3298877,312.7256289
0.150060024,85.34513429,-485.5866115,306.7518597
0.153061224,94.14370476,-490.8433354,300.7780904
0.156062425,102.9422752,-496.1000592,294.8043212
0.159063625,108.640041,-488.1905986,285.153241
0.162064826,116.5564266,-489.7015174,278.1332697
0.165066026,124.4728121,-491.2124362,271.1132983
0.168067227,132.3891976,-492.723355,264.093327
0.171068427,140.3055831,-494.2342738,257.0733556
0.174069628,149.6581988,-494.9681228,251.9063932
0.177070828,158.2554311,-496.1106706,245.7648432
0.180072029,166.9575692,-497.1964593,239.7586415
0.183073229,175.7646131,-498.225489,233.8877881
0.18607443,184.6765627,-499.1977595,228.152283
0.18907563,192.0792518,-496.0966425,220.0977273
0.192076831,200.4248745,-495.0240822,213.4527719
0.195078031,208.7548922,-493.5948887,206.7599238
0.198079232,217.069305,-491.8090619,200.0191831
0.201080432,225.3681129,-489.6666019,193.2305498
0.204081633,233.1539506,-485.5891013,185.9037114
